k,m,a,t,n,n_symbol_copied,avg_info,n_copies,avg_len,avg_acc,time
8,0,1,0.5,1,copy:,1.90954,1625594,10.4667,0.5,11
8,0,1,0.5,4,copy:,1.89134,1721290,11.7168,0.5,10
8,0,1,0.5,8,copy:,1.87976,1462529,14.3274,0.5,12
8,0,1,0.7,1,copy:,2,0,-nan,-nan,23
8,0,1,0.7,4,copy:,2,0,-nan,-nan,49
8,0,1,0.7,8,copy:,2,0,-nan,-nan,94
8,0,1,0.8,1,copy:,2,0,-nan,-nan,26
8,0,1,0.8,4,copy:,2,0,-nan,-nan,53
8,0,1,0.8,8,copy:,2,0,-nan,-nan,96
8,0,0.1,0.5,1,copy:,2.0636,1625594,10.4667,0.5,10
8,0,0.1,0.5,4,copy:,2.05747,1721290,11.7168,0.5,11
8,0,0.1,0.5,8,copy:,2.02373,1462529,14.3274,0.5,13
8,0,0.1,0.7,1,copy:,1.61941,3156771,3.75062,0.906425,15
8,0,0.1,0.7,4,copy:,1.47737,4449929,3.65417,0.903082,21
8,0,0.1,0.7,8,copy:,1.44924,4236199,4.1938,0.896375,25
8,0,0.1,0.8,1,copy:,1.50046,3591802,2.92163,0.926358,16
8,0,0.1,0.8,4,copy:,1.25238,5299851,2.84237,0.930293,23
8,0,0.1,0.8,8,copy:,1.15486,5225926,3.18332,0.934478,31
8,0,0.01,0.5,1,copy:,2.2868,1625594,10.4667,0.5,10
8,0,0.01,0.5,4,copy:,2.29431,1721290,11.7168,0.5,11
8,0,0.01,0.5,8,copy:,2.22543,1462529,14.3274,0.5,14
8,0,0.01,0.7,1,copy:,1.66086,3156771,3.75062,0.966525,14
8,0,0.01,0.7,4,copy:,1.55524,4449929,3.65417,0.959008,20
8,0,0.01,0.7,8,copy:,1.55321,4236199,4.1938,0.946789,26
8,0,0.01,0.8,1,copy:,1.50855,3591802,2.92163,0.987325,16
8,0,0.01,0.8,4,copy:,1.26187,5299851,2.84237,0.987745,23
8,0,0.01,0.8,8,copy:,1.16593,5225926,3.18332,0.987242,31
8,1,1,0.5,1,copy:,1.96706,3836127,4.90178,0.413603,9
8,1,1,0.5,4,copy:,1.89624,1982792,10.4204,0.48276,11
8,1,1,0.5,8,copy:,1.8781,1428332,14.8542,0.495619,13
8,1,1,0.7,1,copy:,1.80571,7644281,1.95978,0.503791,13
8,1,1,0.7,4,copy:,1.53815,5990902,2.77675,0.658164,20
8,1,1,0.7,8,copy:,1.43199,5047986,3.48224,0.700007,29
8,1,1,0.8,1,copy:,2.01873,11309996,1,0.559374,17
8,1,1,0.8,4,copy:,1.78037,11309996,1,0.760077,35
8,1,1,0.8,8,copy:,1.68994,11309996,1,0.83779,58
8,1,0.1,0.5,1,copy:,2.14009,3836127,4.90178,0.284007,9
8,1,0.1,0.5,4,copy:,2.06782,1982792,10.4204,0.456901,10
8,1,0.1,0.5,8,copy:,2.01621,1428332,14.8542,0.489049,12
8,1,0.1,0.7,1,copy:,1.82401,7425685,2.047,0.484718,13
8,1,0.1,0.7,4,copy:,1.59775,5655547,3.00085,0.821912,20
8,1,0.1,0.7,8,copy:,1.52789,4654999,3.86084,0.878886,27
8,1,0.1,0.8,1,copy:,1.74885,8263945,1.73751,0.49438,15
8,1,0.1,0.8,4,copy:,1.40987,6657475,2.39817,0.84184,23
8,1,0.1,0.8,8,copy:,1.25883,5709555,2.96235,0.912688,32
8,1,0.01,0.5,1,copy:,2.39343,3836127,4.90178,0.245891,9
8,1,0.01,0.5,4,copy:,2.31242,1982792,10.4204,0.449295,10
8,1,0.01,0.5,8,copy:,2.2082,1428332,14.8542,0.487116,12
8,1,0.01,0.7,1,copy:,1.85532,7425685,2.047,0.478503,13
8,1,0.01,0.7,4,copy:,1.66817,5655547,3.00085,0.86803,20
8,1,0.01,0.7,8,copy:,1.62834,4654999,3.86084,0.928642,26
8,1,0.01,0.8,1,copy:,1.75668,8263945,1.73751,0.488937,13
8,1,0.01,0.8,4,copy:,1.41958,6657475,2.39817,0.889077,22
8,1,0.01,0.8,8,copy:,1.26995,5709555,2.96235,0.964525,31
10,0,1,0.5,1,copy:,1.89039,1283511,13.8851,0.5,13
10,0,1,0.5,4,copy:,1.8759,1336305,15.0672,0.5,13
10,0,1,0.5,8,copy:,1.86838,1180094,17.4958,0.5,15
10,0,1,0.7,1,copy:,2,0,-nan,-nan,22
10,0,1,0.7,4,copy:,2,0,-nan,-nan,49
10,0,1,0.7,8,copy:,2,0,-nan,-nan,79
10,0,1,0.8,1,copy:,2,0,-nan,-nan,23
10,0,1,0.8,4,copy:,2,0,-nan,-nan,47
10,0,1,0.8,8,copy:,2,0,-nan,-nan,79
10,0,0.1,0.5,1,copy:,2.01237,1283511,13.8851,0.5,12
10,0,0.1,0.5,4,copy:,2.00493,1336305,15.0672,0.5,14
