k,m,a,t,n,n_symbol_copied,avg_info,n_copies,avg_len,avg_acc,time
10,0,0.01,0.5,4,copy:,2.24332,2112850,10.5295,0.252531,14
10,0,0.01,0.5,8,copy:,2.18819,1612093,13.8074,0.298033,15
10,0,0.01,0.7,1,copy:,2.46736,8701385,2.52041,0.171284,17
10,0,0.01,0.7,4,copy:,2.50893,5439756,4.03714,0.367422,21
10,0,0.01,0.7,8,copy:,2.42514,4446031,4.94169,0.439807,26
10,0,0.01,0.8,1,copy:,2.52714,10131626,2.15616,0.179524,17
10,0,0.01,0.8,4,copy:,2.59456,6648662,3.28856,0.383379,23
10,0,0.01,0.8,8,copy:,2.50205,5569970,3.92682,0.463381,30
10,1,1,0.5,1,copy:,1.98306,2995615,7.44534,0.332757,12
10,1,1,0.5,4,copy:,1.92156,1681496,13.2924,0.400294,14
10,1,1,0.5,8,copy:,1.90215,1319805,16.9417,0.415315,16
10,1,1,0.7,1,copy:,1.85253,6304547,3.50281,0.386537,15
10,1,1,0.7,4,copy:,1.69518,5053156,4.37372,0.496532,21
10,1,1,0.7,8,copy:,1.63828,4418296,5.00358,0.525593,27
10,1,1,0.8,1,copy:,1.94065,10989757,2,0.445377,19
10,1,1,0.8,4,copy:,1.59337,10989757,2,0.576723,35
10,1,1,0.8,8,copy:,1.42599,10989757,2,0.620291,50
10,1,0.1,0.5,1,copy:,2.08898,2995615,7.44534,0.208898,12
10,1,0.1,0.5,4,copy:,2.05248,1681496,13.2924,0.341391,14
10,1,0.1,0.5,8,copy:,2.01449,1319805,16.9417,0.369758,15
10,1,0.1,0.7,1,copy:,2.0535,6085145,3.63112,0.284906,14
10,1,0.1,0.7,4,copy:,2.05048,4753983,4.65214,0.472863,20
10,1,0.1,0.7,8,copy:,1.979,4089718,5.40939,0.515154,26
10,1,0.1,0.8,1,copy:,2.0416,7023281,3.13745,0.293917,15
10,1,0.1,0.8,4,copy:,2.03142,5769598,3.82109,0.487685,22
10,1,0.1,0.8,8,copy:,1.94068,5113260,4.31248,0.537055,29
10,1,0.01,0.5,1,copy:,2.28164,2995615,7.44534,0.185081,12
10,1,0.01,0.5,4,copy:,2.24575,1681496,13.2924,0.330806,13
10,1,0.01,0.5,8,copy:,2.17546,1319805,16.9417,0.361739,16
10,1,0.01,0.7,1,copy:,2.44763,6085145,3.63112,0.265062,15
10,1,0.01,0.7,4,copy:,2.60053,4753983,4.65214,0.468793,19
10,1,0.01,0.7,8,copy:,2.4844,4089718,5.40939,0.514125,25
10,1,0.01,0.8,1,copy:,2.50196,7023281,3.13745,0.274582,15
10,1,0.01,0.8,4,copy:,2.69977,5769598,3.82109,0.484332,22
10,1,0.01,0.8,8,copy:,2.57374,5113260,4.31248,0.537119,28
12,0,1,0.5,1,copy:,1.94753,2556876,7.55195,0.361608,12
12,0,1,0.5,4,copy:,1.9233,1877699,10.4201,0.373815,14
12,0,1,0.5,8,copy:,1.9199,1803825,10.8704,0.374763,14
12,0,1,0.7,1,copy:,1.84781,15862491,1,0.502096,23
